model,group,mean_abs_grouped_shap,n_features
Baseline,Fingerprints,0.2618017685124221,2048
Baseline,Proteins,0.07958455323492108,44
Baseline,PhysChem,0.20702077698899438,2
Baseline,ADME,,0
PCA,Fingerprints,0.27748410883251723,2048
PCA,Proteins,0.04652448154486364,3
PCA,PhysChem,0.23109613726078698,2
PCA,ADME,,0
ADME,Fingerprints,0.09066703022726606,2048
ADME,Proteins,0.03466442989493302,44
ADME,PhysChem,0.1350083691767808,2
ADME,ADME,0.23096813181529285,68
Plain,Fingerprints,0.2624986862767315,2048
Plain,Proteins,,0
Plain,PhysChem,0.23600598384846103,2
Plain,ADME,,0
BBB pass,Fingerprints,0.18636979373522927,2048
BBB pass,Proteins,0.07591019847511873,44
BBB pass,PhysChem,0.16697195682394983,2
BBB pass,ADME,,0
